blog_vampires.txt_0	none	none	none	none	none	none	0	none	none	none	none	none	0	none	none	none	none	0	none	none	none	none	adv.all	now	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_1	false	none	none	NNP	proper	sg	3	02735086-N	03177349-N	03315023-N	00021939-N	00001740-N	7	noun.artifact	none	none	false	0	none	none	none	none	none	none	none	none	none	none	NNP	jul	none	none	noun.artifact	archive	none	none	zomby	VBZ	present	false	false	pres	active	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_2	false	none	none	NNP	proper	sg	3	02735086-N	03177349-N	03315023-N	00021939-N	00001740-N	7	noun.artifact	none	none	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	noun.artifact	archive	none	none	none	none	none	none	none	none	none	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_3	false	none	none	NNP	proper	sg	3	02735086-N	03177349-N	03315023-N	00021939-N	00001740-N	7	noun.artifact	none	none	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	noun.artifact	archive	none	none	none	none	none	none	none	none	none	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_4	false	none	none	NNP	proper	sg	3	02735086-N	03177349-N	03315023-N	00021939-N	00001740-N	7	noun.artifact	none	none	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	noun.artifact	archive	none	none	none	none	none	none	none	none	none	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_5	false	NO-NOUN	none	PRP	pronoun	sg	3	none	none	none	none	none	0	none	none	none	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_6	false	NO-NOUN	none	PRP	pronoun	unknown	1	none	none	none	none	none	0	none	none	none	true	1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	PRP	i	none	none	noodle	VBG	past	false	true	past_cont	active	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_7	false	none	none	NNP	proper	sg	3	02735086-N	03177349-N	03315023-N	00021939-N	00001740-N	7	noun.artifact	positive	also	false	1	none	none	none	none	adv.all	also	none	none	none	none	none	none	none	none	noun.artifact	archive	none	none	lump	VBN	none	false	false	other	unknown	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_8	false	Y	demon	NNS	common	pl	3	05938400-N	05937112-N	05926676-N	05809192-N	00001740-N	7	noun.cognition	none	none	false	0	JJ	different	none	none	none	none	none	none	none	none	none	none	none	none	noun.cognition	archetype	none	none	seem	VBP	present	false	false	pres	active	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_9	false	Y	def	NN	common	sg	3	09544109-N	09541919-N	09545324-N	09504135-N	00001740-N	9	noun.person	positive	surely	false	1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	dead	JJ	past	false	false	sim_past	active	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_10	none	none	none	none	none	none	0	none	none	none	none	none	0	none	positive	then	false	1	none	none	none	none	adv.all	then	none	none	none	none	noun.act	revival	none	none	none	none	none	none	lead	VBD	past	false	false	sim_past	active	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_11	false	Y	none	NN	common	sg	3	01047338-N	07357388-N	07359599-N	07296428-N	00001740-N	8	noun.act	positive	back	false	1	none	none	none	none	adv.all	back	none	none	none	none	PRP	it	none	none	none	none	none	none	bring	VBN	none	false	false	other	unknown	THE-DUMMY-VALUE	THE-DUMMY-VALUE
blog_vampires.txt_12	false	Y	def	NN	common	sg	3	06410904-N	06589574-N	04599396-N	04007894-N	00001740-N	9	noun.communication	positive	technically	false	1	none	none	none	none	adv.all	technically	none	none	none	none	none	none	none	none	none	none	noun.communication	book	publish	VBN	past	true	false	past_perf	active	THE-DUMMY-VALUE	THE-DUMMY-VALUE
